Vuosi,Kk,Ha_Tunnus,Hallinnonala,Tv_Tunnus,Kirjanpitoyksikkö,PaaluokkaOsasto_TunnusP,PaaluokkaOsasto_sNimi,Luku_TunnusP,Luku_sNimi,Momentti_TunnusP,Momentti_sNimi,TakpT_TunnusP,TakpT_sNimi,TakpTr_sNimi,Tililuokka_Tunnus,Tililuokka_sNimi,Ylatiliryhma_Tunnus,Ylatiliryhma_sNimi,Tiliryhma_Tunnus,Tiliryhma_sNimi,Tililaji_Tunnus,Tililaji_sNimi,LkpT_Tunnus,LkpT_sNimi,Alkuperäinen_talousarvio,Lisätalousarvio,Voimassaoleva_talousarvio,Käytettävissä,Alkusaldo,Nettokertymä_ko_vuodelta,NettoKertymaAikVuosSiirrt,Nettokertymä,Loppusaldo
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.15.,Eläkkeet,28.50.15.4.,Korvaus kunnalliselle eläkelaitokselle (KPY),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,4995000.0,0.0,4995000.0,4995000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,321,Tilastokeskus,28.,Valtiovarainministeriön hallinnonala,28.70.,Valtionhallinnon kehittäminen,28.70.01.,Julkisen hallinnon ICT:n ohjaus ja kehittäminen,4.20.28.70.01.,Julkisen hallinnon ICT:n ohjaus ja kehittäminen,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,0.0,0.0,0.0,364657.77,-364657.77,0.0,0.0,0.0,-364657.77
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,,,,,,,,,,2,VASTATTAVAA,20-21,OMA PÄÄOMA,20,VALTION PÄÄOMA,209,Tilikauden tuotto-/kulujäämä,20900000,Tilikauden tuotto-/kulujäämä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408930.33,408930.33
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,261,Siirtovelat,26110000,Lomapalkkavelka,0.0,0.0,0.0,0.0,-669161.39,0.0,0.0,0.0,-669161.39
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,173,Siirtosaamiset,17398000,"Siirtosaamiset, sisäiset (T)",0.0,0.0,0.0,0.0,188626.18,0.0,0.0,-500.0,188126.18
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,262,Muut lyhytaikaiset velat,26200010,"Epäselvät erät (T), palkat",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2103.0,-2103.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,173,Siirtosaamiset,17390000,Muut siirtosaamiset (T),0.0,0.0,0.0,0.0,10232.0,0.0,0.0,0.0,10232.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,258,Kirjanpitoyksiköiden välisiet tilitykset,25800100,Ennakonpidätykset (T),0.0,0.0,0.0,0.0,-82348.8,0.0,0.0,21154.24,-61194.56
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,174,Muut lyhytaikaiset saamiset,17490300,"Muut lyhytaikaiset saamiset (T), palkat",0.0,0.0,0.0,0.0,100.75,0.0,0.0,1513.34,1614.09
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,257,Ostovelat,25700300,"Ostovelat (T), matkalaskut",0.0,0.0,0.0,0.0,-506.55,0.0,0.0,506.55,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,259-260,Edelleen tilitettävät erät,25940000,Jäsenmaksut (T),0.0,0.0,0.0,0.0,-210.21,0.0,0.0,26.02,-184.19
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,258,Kirjanpitoyksiköiden välisiet tilitykset,25810000,Sosiaaliturvamaksut (T),0.0,0.0,0.0,0.0,-4158.92,0.0,0.0,792.56,-3366.36
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,174,Muut lyhytaikaiset saamiset,17490100,"Muut lyhytaikaiset saamiset (T), Kieku-reskontra",0.0,0.0,0.0,0.0,72378.6,0.0,0.0,-70390.72,1987.88
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,19,"RAHAT, PANKKISAAMISET JA MUUT RAHOITUSVARAT",199,Sisäisen rahaliikkeen tilit,19930100,"Katteet (T), Nordea",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-368142.06,-368142.06
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,256,Saadut ennakot,25690000,Muut saadut ennakot,0.0,0.0,0.0,0.0,-16526.11,0.0,0.0,0.0,-16526.11
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,20-21,OMA PÄÄOMA,20,VALTION PÄÄOMA,207,Edellisten tilikausien pääoman muutos,20700000,Edellisten tilikausien pääoman muutos,0.0,0.0,0.0,0.0,355110.5,0.0,0.0,0.0,355110.5
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,19,"RAHAT, PANKKISAAMISET JA MUUT RAHOITUSVARAT",199,Sisäisen rahaliikkeen tilit,19930800,Katteet Danske Bank (T),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260244.37,-260244.37
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,257,Ostovelat,25700600,"Ostovelat (T), maksuaikakortit Nordea",0.0,0.0,0.0,0.0,227.4,0.0,0.0,-425.64,-198.24
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,19,"RAHAT, PANKKISAAMISET JA MUUT RAHOITUSVARAT",192,Maksuliikemenotilit,19200800,"Yleiset maksuliikemenotilit (T), Danske Bank",0.0,0.0,0.0,0.0,-194.34,0.0,0.0,2.97,-191.37
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,259-260,Edelleen tilitettävät erät,25930100,"Työntekijän eläkemaksut (T), JuEL",0.0,0.0,0.0,0.0,-20067.88,0.0,0.0,1498.44,-18569.44
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,19,"RAHAT, PANKKISAAMISET JA MUUT RAHOITUSVARAT",199,Sisäisen rahaliikkeen tilit,19940100,"Tyhjennykset (T), Nordea",0.0,0.0,0.0,0.0,0.0,0.0,0.0,178083.21,178083.21
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,257,Ostovelat,25708100,"Ostovelat, Kieku-reskontra, sisäiset (T)",0.0,0.0,0.0,0.0,-52109.88,0.0,0.0,60140.03,8030.15
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,170,Myyntisaamiset,17000100,"Myyntisaamiset (T), Kieku-reskontra",0.0,0.0,0.0,0.0,2608.57,0.0,0.0,-2608.57,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,259-260,Edelleen tilitettävät erät,25920000,Työnantajan eläkemaksut (T),0.0,0.0,0.0,0.0,-46148.46,0.0,0.0,2235.88,-43912.58
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,19,"RAHAT, PANKKISAAMISET JA MUUT RAHOITUSVARAT",199,Sisäisen rahaliikkeen tilit,19940800,"Tyhjennykset (T), Danske Bank",0.0,0.0,0.0,0.0,0.0,0.0,0.0,37603.0,37603.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,20-21,OMA PÄÄOMA,20,VALTION PÄÄOMA,200,Valtion pääoma 1.1.1998,20000000,Valtion pääoma 1.1.1998,0.0,0.0,0.0,0.0,190396.06,0.0,0.0,0.0,190396.06
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,259-260,Edelleen tilitettävät erät,25980100,Palkkojen yleinen selvittelytili (T),0.0,0.0,0.0,0.0,-520.7,0.0,0.0,520.7,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,174,Muut lyhytaikaiset saamiset,17498100,"Muut lyhytaikaiset saamiset, Kieku-reskontra, sisäiset (T)",0.0,0.0,0.0,0.0,229106.08,0.0,0.0,-138596.04,90510.04
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,258,Kirjanpitoyksiköiden välisiet tilitykset,25800200,"Ennakonpidätykset, lähdevero (ml. Sv-maksu) (T)",0.0,0.0,0.0,0.0,-1066.45,0.0,0.0,1066.45,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,259-260,Edelleen tilitettävät erät,25960000,Työttömyysvakuutusmaksut (T),0.0,0.0,0.0,0.0,-10557.81,0.0,0.0,6787.06,-3770.75
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,257,Ostovelat,25700100,"Ostovelat (T), Kieku-reskontra",0.0,0.0,0.0,0.0,-143243.73,0.0,0.0,120474.17,-22769.56
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,258,Kirjanpitoyksiköiden välisiet tilitykset,25820000,Tapaturmamaksut (T),0.0,0.0,0.0,0.0,-1964.91,0.0,0.0,1614.97,-349.94
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,262,Muut lyhytaikaiset velat,26200800,"Epäselvät erät (T), Danske Bank selvittelytili",0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.48,60.48
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,4.21.28.30.02.01.,Toimintamenot,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,0.0,0.0,0.0,1576271.81,-1576271.81,0.0,0.0,0.0,-1576271.81
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,3543000.0,0.0,3543000.0,3543000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,41,Henkilöstökulut,41,Henkilöstökulut,410,Palkat ja palkkiot,41020000,Sairausvakuutus- yms. lakien mukaiset palautukset,0.0,0.0,0.0,0.0,0.0,-520.7,0.0,-520.7,-520.7
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,43,Palvelujen ostot,43,Palvelujen ostot,439,Muut palvelut,43990000,Muut palvelut,0.0,0.0,0.0,0.0,0.0,899.99,0.0,899.99,899.99
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,42,Vuokrat,42,Vuokrat,420,Vuokrat,42020001,Muiden rakennusten vuokrat,0.0,0.0,0.0,0.0,0.0,31287.75,0.0,31287.75,31287.75
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,3,TOIMINNAN TUOTOT,39,Muut toiminnan tuotot,39,Muut toiminnan tuotot,398,Muut tuotot,39890000,Muut tuotot,0.0,0.0,0.0,0.0,0.0,-1737.4,0.0,-1737.4,-1737.4
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,43,Palvelujen ostot,43,Palvelujen ostot,433,Henkilöstöpalvelut,43310001,Työterveyspalvelut,0.0,0.0,0.0,0.0,0.0,1776.13,0.0,1776.13,1776.13
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,40,"Aineet, tarvikkeet ja tavarat",40,"Aineet, tarvikkeet ja tavarat",400,Ostot tilikauden aikana,40020000,"Kirjat, lehdet ja muut painotuotteet",0.0,0.0,0.0,0.0,0.0,32453.55,0.0,32453.55,32453.55
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,43,Palvelujen ostot,43,Palvelujen ostot,432,Toimistopalvelut,43220300,Tietoliikennepalvelut,0.0,0.0,0.0,0.0,0.0,163.45,0.0,163.45,163.45
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,40,"Aineet, tarvikkeet ja tavarat",40,"Aineet, tarvikkeet ja tavarat",400,Ostot tilikauden aikana,40010000,Toimistotarvikkeet,0.0,0.0,0.0,0.0,0.0,88.02,0.0,88.02,88.02
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,43,Palvelujen ostot,43,Palvelujen ostot,439,Muut palvelut,43920001,Tietotekniikan asiantuntija- ja ylläpitopalvelut,0.0,0.0,0.0,0.0,0.0,177.0,0.0,177.0,177.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,43,Palvelujen ostot,43,Palvelujen ostot,439,Muut palvelut,43900000,Ravitsemispalvelut,0.0,0.0,0.0,0.0,0.0,90.7,0.0,90.7,90.7
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,43,Palvelujen ostot,43,Palvelujen ostot,432,Toimistopalvelut,43240000,Pankkipalvelut,0.0,0.0,0.0,0.0,0.0,144.62,0.0,144.62,144.62
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,41,Henkilöstökulut,41,Henkilöstökulut,410,Palkat ja palkkiot,41000400,Virkasuhteisten lomarahat,0.0,0.0,0.0,0.0,0.0,524.78,0.0,524.78,524.78
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,43,Palvelujen ostot,43,Palvelujen ostot,432,Toimistopalvelut,43280000,"Talous- ja henkilöstöhallinnon palvelujen ostot, sisäiset",0.0,0.0,0.0,0.0,0.0,8085.35,0.0,8085.35,8085.35
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,45,Muut kulut,45,Muut kulut,454,Jäsenmaksut,45400000,Jäsenmaksut kotimaahan,0.0,0.0,0.0,0.0,0.0,592.0,0.0,592.0,592.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,28.,Valtiovarainministeriön hallinnonala,28.30.,"Tilastotoimi, taloudellinen tutkimus ja rekisterihallinto",28.30.02.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,28.30.02.01.,Toimintamenot,,4,TOIMINNAN KULUT,41,Henkilöstökulut,41,Henkilöstökulut,411,Henkilöstösivukulut,41120000,Eläkemaksut,0.0,0.0,0.0,0.0,0.0,40008.49,0.0,40008.49,40008.49
