Vuosi,Kk,Ha_Tunnus,Hallinnonala,Tv_Tunnus,Kirjanpitoyksikkö,PaaluokkaOsasto_TunnusP,PaaluokkaOsasto_sNimi,Luku_TunnusP,Luku_sNimi,Momentti_TunnusP,Momentti_sNimi,TakpT_TunnusP,TakpT_sNimi,TakpTr_sNimi,Tililuokka_Tunnus,Tililuokka_sNimi,Ylatiliryhma_Tunnus,Ylatiliryhma_sNimi,Tiliryhma_Tunnus,Tiliryhma_sNimi,Tililaji_Tunnus,Tililaji_sNimi,LkpT_Tunnus,LkpT_sNimi,Alkuperäinen_talousarvio,Lisätalousarvio,Voimassaoleva_talousarvio,Käytettävissä,Alkusaldo,Nettokertymä_ko_vuodelta,NettoKertymaAikVuosSiirrt,Nettokertymä,Loppusaldo
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,33.,Sosiaali- ja terveysministeriön hallinnonala,33.60.,Kuntien järjestämä sosiaali- ja terveydenhuolto,33.60.39.,Palvelurakenteen kehittäminen,33.60.39.08.,Lapsistrategia,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,50000.0,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.95.,Muiden eläkelaitosten valtion puolesta maksamien eläkemenoje,28.50.95.,Muiden eläkelaitosten valtion puolesta maksamien eläkemenojen ja valtiolle maksamien ennakoiden korkomenot,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,21848000.0,0.0,21848000.0,21848000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.15.,Eläkkeet,28.50.15.2.,Kansanedustajien eläkkeet ja perhe-eläkkeet (KPY),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,13308000.0,0.0,13308000.0,13308000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.15.,Eläkkeet,28.50.15.2.,Kansanedustajien eläkkeet ja perhe-eläkkeet (KPY),,8,SIIRTOTALOUDEN TUOTOT JA KULUT,82-83,Siirtotalouden kulut,82-83,Siirtotalouden kulut,826,Siirtotalouden kulut kotitalouksille,82600000,Maksetut eläkkeet,0.0,0.0,0.0,0.0,0.0,1077939.38,0.0,1077939.38,1077939.38
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.90.,Kuntien tukeminen,28.90.30.,Valtionosuus kunnille peruspalvelujen järjestämiseen,28.90.30.2.,Harkinnanvaraisen valtionosuuden korotuksen maksamiseen (EK) (enintään),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,10000000.0,0.0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.01.,Hallinto,28.01.25.,Metallirahamenot,28.01.25.1.,Metallirahamenot (KPY),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,4250000.0,0.0,4250000.0,4250000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.16.,Ylimääräiset eläkkeet ja muut eläkemenot,28.50.16.3.,Korvaus Nokia Oyj:lle (KPY),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.01.,Hallinto,28.01.50.,Elpymis- ja palautumissuunnitelman rahoitus työkykyhankkeese,28.01.50.,Elpymis- ja palautumissuunnitelman rahoitus työkykyhankkeeseen (RRF Pilari3),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,1500000.0,0.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.16.,Ylimääräiset eläkkeet ja muut eläkemenot,28.50.16.5.,Korvaus Vammas Oy:lle (KPY),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,30000.0,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.16.,Ylimääräiset eläkkeet ja muut eläkemenot,28.50.16.5.,Korvaus Vammas Oy:lle (KPY),,8,SIIRTOTALOUDEN TUOTOT JA KULUT,82-83,Siirtotalouden kulut,82-83,Siirtotalouden kulut,824,Siirtotalouden kulut rahoitus- ja va,82400000,"Valtionosuudet käyttötalous, rahoitus- ja vakuutuslaitokset",0.0,0.0,0.0,0.0,0.0,2396.28,0.0,2396.28,2396.28
